Identifier,Status catalogue,Business line/Ligne d'affaires,Type of product/ Type de produit,Title/Titre (Eng),Description (English/anglais),Catalogue Link (EN),Title/Titre (Fra),Description (French/français),Catalogue Link (FR),Provider/Fournisseur,Homepage,Product has related courses/Ce produit a des cours connexes,Related courses/Cours connexes,Primary Intended Audience/Public ciblé principal,Total length of English product (h:mm:ss) / Durée totale du produit anglais (h:mm:ss),Total length of French product (h:mm:ss) / Durée totale du produit francais (h:mm:ss) copy,Duration - Showcard,Duration - Product page,Curriculum Architecture Placement/Emplacement dans l'architecture du curriculum,"If Corporate Skills, choose a sub-category/ Si Compétences organisationnelles, choisir une sous-catégorie","If Digital and Data, choose a sub-category/ Si numérique et données , choisir une sous-catégorie","If Healthy Workplace, choose a sub-category/ Si milieu de travail sain, choisir une sous-catégorie","If Public Sector Foundations, choose a sub-category/ Si fondements du secteur public, choisir une sous-catégorie","If Transferable Skills, choose a sub-category/ Si compétences transférables, choisir une sous-catégorie",Topics/Sujets,"Under Communication, are any of these sub-topics applicable?/Sous communication, un de ces sous-sujets est-il applicable ?","Under digital, data and design, are any of these sub-topics applicable?/Sous numérique, données et conception, un de ces sous-sujets est-il applicable ?","Under leadership, are any of these sub-topics applicable?/Sous leadership, un de ces sous-sujets est-il applicable ?","Under wellbeing, are any of these sub-topics applicable?/Sous mieux-être, un de ces sous-sujets est-il applicable ?","Under diversity, inclusion and Indigenous reconciliation, are any of these sub-topics applicable?/Sous diversité, inclusion et réconciliation avec les Autochtones, un de ces sous-sujets est-il applicable ?","Under working with others, are any of these sub-topics applicable?/Sous travailler ensemble, un de ces sous-sujets est-il applicable ?","Under project and product management, are any of these sub-topics applicable?/Sous gestion de produits et de projets, un de ces sous-sujets est-il applicable ?","Under government operations, are any of these sub-topics applicable?/Sous opérations gouvernementales, un de ces sous-sujets est-il applicable ?"
ADP-PRG,Active / Shown in catalogue,Executive Learning/Apprentissage pour les cadres,Program/Programme,Aspiring Directors Program,"Career transition programs are vital to supporting talent management across the public service. The Aspiring Directors Program (ADP) is a guided development activity for identified candidates to reflect on the competencies that are critical to the success of executives in the federal public service. Participants will explore the importance of self-awareness and personal reflection in becoming a better leader, and examine the leadership and self‑management skills needed to build teams and become an effective agent of change.",https://catalogue.csps-efpc.gc.ca/product?catalog=ADP-PRG&cm_locale=en,Programme à l'intention des futurs directeurs,"Les programmes de transition de carrière sont essentiels pour soutenir la gestion des talents dans l'ensemble de la fonction publique. Le Programme à l'intention des futurs directeurs (PFD) s'agit d'une activité de développement guidée permettant aux candidats identifiés de réfléchir aux compétences qui sont essentielles au succès des cadres de la fonction publique fédérale. Les participants exploreront l'importance de la conscience de soi et de la réflexion personnelle pour devenir un meilleur leader, et examineront les compétences de leadership et d'autogestion nécessaires pour développer des équipes et devenir un agent du changement.",https://catalogue.csps-efpc.gc.ca/product?catalog=ADP-PRG&cm_locale=fr,CSPS/EFPC,CSPS website,,,Managers/Gestionnaires,,,N/A,N/A,,,,,,,Leadership/Leadership,,,Management development programs/Programmes de perfectionnement des gestionnaires,,,,,
ADT-PRG-BUNDLE,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Program/Programme,Authority Delegation Training Program,"To do their jobs effectively, public service managers are expected to have a solid understanding of their roles, responsibilities and accountabilities. The Authority Delegation Training Program (ADT) provides the essential information needed for managers and executives to successfully obtain and execute their delegated authorities in the areas of human resources, finance and procurement. Participants will learn about the core legislation, regulations, policies and guidelines that govern their roles and responsibilities within the federal public service.",https://catalogue.csps-efpc.gc.ca/product?catalog=ADT-PRG-BUNDLE&cm_locale=en,Programme de formation sur la délégation de pouvoirs,"Pour faire leur travail efficacement, les gestionnaires de la fonction publique doivent avoir une bonne compréhension de leurs rôles, de leurs responsabilités et de leurs obligations de rendre compte. Le programme de formation sur la délégation de pouvoirs (FDP) fournit l'information essentielle dont les cadres et les gestionnaires ont besoin pour qu'ils se voient déléguer des pouvoirs dans les domaines des ressources humaines, des finances et de l'approvisionnement et puissent bien les exercer. Les participants acquerront des connaissances sur les lois, les règlements, les politiques et les lignes directrices fondamentaux qui régissent leurs rôles et responsabilités dans la fonction publique fédérale.",https://catalogue.csps-efpc.gc.ca/product?catalog=ADT-PRG-BUNDLE&cm_locale=fr,CSPS/EFPC,CSPS website,,,"Supervisors/Superviseurs,Managers/Gestionnaires,Executives/Cadres",,,N/A,N/A,,,,,,,Leadership/Leadership,,,Management development programs/Programmes de perfectionnement des gestionnaires,,,,,
CHC1-J01,Active / Shown in catalogue,Content hosting/Hébergement de contenu,Job aid/Outil de travail,Integrating Sustainable Development Goals in Everyday Work (CHC1-J01),"This job aid identifies opportunities to proactively apply the Sustainable Development Goals, set by the 2030 Agenda for Sustainable Development, across government policies, programs, and operations.",https://catalogue.csps-efpc.gc.ca/product?catalog=CHC1-J01&cm_locale=en,Intégrer les objectifs de développement durable dans le travail quotidien (CHC1-J01),"Cet outil de travail présente les possibilités d'appliquer de manière proactive les objectifs de développement durable, établis par le Programme de développement durable à l'horizon 2030, dans l'ensemble des politiques, des programmes et des opérations du gouvernement.",https://catalogue.csps-efpc.gc.ca/product?catalog=CHC1-J01&cm_locale=fr,Other Government of Canada department/Autre ministère du gouvernement du Canada,CSPS website,,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Functional Specialists/Spécialistes fonctionnels",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,,,,,,,"Government operations/Opérations gouvernementales,Project and product management/Gestion de produits et de projets,Communication/Communication",Influence and storytelling/Influence et communication narrative,,,,,,"Decision making/Prise de décision,Results orientation/Orientation vers des résultats","Policy and regulation/Politiques et réglementation,Service delivery/Prestation de services"
CHC1-J02,Active / Shown in catalogue,Content hosting/Hébergement de contenu,Job aid/Outil de travail,Integrating Sustainable Development Goals into Policy Making (CHC1-J02),"This job aid lists key questions to consider when incorporating the principles of the 2030 Agenda for Sustainable Development and its Sustainable Development Goals for developing, implementing, and evaluating government policies, programs, and initiatives.",https://catalogue.csps-efpc.gc.ca/product?catalog=CHC1-J02&cm_locale=en,Intégrer les objectifs de développement durable à l’élaboration de politiques (CHC1-J02),"Cet outil de travail énumère les principales questions à prendre en compte lors de l’intégration des principes du Programme de développement durable à l’horizon 2030 et de ses objectifs de développement durable pour l’élaboration, la mise en œuvre et l’évaluation des politiques, des programmes et des initiatives gouvernementales.",https://catalogue.csps-efpc.gc.ca/product?catalog=CHC1-J02&cm_locale=fr,Other Government of Canada department/Autre ministère du gouvernement du Canada,CSPS website,,,"Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires,Functional Specialists/Spécialistes fonctionnels",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,,,,,,,"Communication/Communication,Project and product management/Gestion de produits et de projets,Government operations/Opérations gouvernementales",Influence and storytelling/Influence et communication narrative,,,,,,"Results orientation/Orientation vers des résultats,Decision making/Prise de décision","Service delivery/Prestation de services,Policy and regulation/Politiques et réglementation"
COR1-J03,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Tips for Having Constructive Performance Conversations (COR1-J03),This job aid provides tips on how to have constructive performance conversations with employees.    ,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J03&cm_locale=en,Conseils pour tenir des conversations constructives sur le rendement (COR1-J03),Cet outil de travail fournit des conseils pour tenir des conversations constructives sur le rendement avec les membres du personnel. ,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J03&cm_locale=fr,CSPS/EFPC,CSPS website,,,"Managers/Gestionnaires,Supervisors/Superviseurs",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Leadership/Leadership,Government operations/Opérations gouvernementales,Communication/Communication",,,"Managing teams/Gestion d’équipe,Operational effectiveness/Efficacité opérationnelle",,,,,Human resources/Ressources humaines
COR1-J04,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Action Verbs for More Precise S.M.A.R.T. Objectives (COR1-J04),This job aid presents a list of action verbs to help make your work and learning objectives as precise as possible. ,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J04&cm_locale=en,Utiliser des verbes d'action pour préciser ses objectifs S.M.A.R.T. (COR1-J04),Cet outil de travail présente une liste de verbes d'action pour vous aider à rendre vos objectifs de travail et d'apprentissage le plus précis possible. ,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J04&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,COR109 - Performance Management for the Government of Canada/Gestion du rendement pour le gouvernement du Canada,"Managers/Gestionnaires,Supervisors/Superviseurs",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Project and product management/Gestion de produits et de projets,Working with others/Travailler ensemble,Leadership/Leadership",,,,,,Managing teams/Gestion d’équipe,"Results orientation/Orientation vers des résultats,Decision making/Prise de décision",
COR1-J05,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Are Your Objectives S.M.A.R.T.? (COR1-J05),"This job aid serves as a checklist to help determine the ""SMART-ness"" of your
work objectives by listing criteria to make them specific, measurable, attainable,
relevant and timely. ",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J05&cm_locale=en,Vos objectifs suivent-ils le principe S.M.A.R.T.? (COR1-J05),"Cet outil de travail fournit une liste de critères pour vous aider à déterminer si vos objectifs de travail suivent le principe S.M.A.R.T., c'est-à-dire s'ils sont spécifiques, mesurables, atteignables, réalistes et temporels. ",https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J05&cm_locale=fr,CSPS/EFPC,CSPS website,,,"Managers/Gestionnaires,Supervisors/Superviseurs",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Project and product management/Gestion de produits et de projets,Working with others/Travailler ensemble,Leadership/Leadership",,,,,,Managing teams/Gestion d’équipe,"Results orientation/Orientation vers des résultats,Decision making/Prise de décision",
COR1-J07,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,What to Do in Case of Extended Sick Leave (COR1-J07),This job aid provides a list of responsibilities for employees who must take sick leave for more than 10 consecutive work days.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J07&cm_locale=en,Que faire en cas de congé de maladie prolongé (COR1-J07),Cet outil de travail fournit une liste de responsabilités pour les employés qui doivent prendre un congé de maladie de plus de 10 jours consécutifs.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J07&cm_locale=fr,CSPS/EFPC,Brightspace - No Registration,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Wellbeing/Mieux-être,Government operations/Opérations gouvernementales",,,,Self-awareness/Conscience de soi,,,,Human resources/Ressources humaines
COR1-J10,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,HR-to-Pay Stabilization Training (COR1-J10),This job aid lists HR-to-Pay stabilization resources to support organizations in addressing and preventing pay issues for their employees. (GCpedia),https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J10&cm_locale=en,Formation de la stabilisation RH-à-Paye (COR1-J10),Cet outil de travail répertorie les ressources de stabilisation des RH à la paye nécessaires pour traiter et prévenir les problèmes liés à la paye des employés. (GCpédia),https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J10&cm_locale=fr,CSPS/EFPC,GCpedia,No/Non,,,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,"Government operations/Opérations gouvernementales,Leadership/Leadership",,,Operational effectiveness/Efficacité opérationnelle,,,,,"Human resources/Ressources humaines,Service delivery/Prestation de services"
COR1-J11,Active / Shown in catalogue,GC and Public Sector Skills/Compétences du GC et du secteur public,Job aid/Outil de travail,Understanding a Letter of Offer (COR1-J11),This job aid reviews and explains the contents of a letter of offer.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J11&cm_locale=en,Comprendre la lettre d'offre d'emploi (COR1-J11),Cet outil de travail passe en revue et explique le contenu d'une lettre d'offre d'emploi.,https://catalogue.csps-efpc.gc.ca/product?catalog=COR1-J11&cm_locale=fr,CSPS/EFPC,Brightspace - Registration,No/Non,,,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Corporate Skills/Compétences organisationnelles ,Human Resources/Ressources humaines,,,,,Government operations/Opérations gouvernementales,,,,,,,,Human resources/Ressources humaines
