name,description,why_recommend,score_of_content,"link	",,,,,,
Intro to Programming,"Learn basic programming concepts such as variables, loops, and functions using Python.",Best entry point for absolute beginners to build coding foundations needed for all other Kaggle courses.,8.5,https://www.kaggle.com/learn/intro-to-programming,,,,,,
Python,"Covers Python fundamentals for data science including syntax, functions, and data handling.",Essential language for data science; prerequisite for almost all advanced courses.,9,https://www.kaggle.com/learn/python,,,,,,
Pandas,Learn data manipulation and analysis using Pandas for tabular datasets.,Core tool for real-world data analysis; widely used in industry.,9.5,https://www.kaggle.com/learn/pandas,,,,,,
Data Cleaning,"Learn how to clean messy datasets, handle missing values, and fix inconsistencies.",Critical real-world skill; most data science work involves cleaning data.,9.5,https://www.kaggle.com/learn/data-cleaning,,,,,,
Data Visualization,Create charts and visualizations to explore and communicate data insights.,Transforms analysis into clear communication; key for decision-making.,9,https://www.kaggle.com/learn/data-visualization,,,,,,
Feature Engineering,Learn to create meaningful features to improve machine learning models.,High impact skill for improving model performance in real projects.,9,https://www.kaggle.com/learn/feature-engineering,,,,,,
Intro to SQL,"Basics of querying databases, filtering, and aggregating data using SQL.",Essential for working with databases and large datasets.,8.5,https://www.kaggle.com/learn/intro-to-sql,,,,,,
Advanced SQL,"Advanced querying including joins, nested queries, and optimization.",Important for handling complex data tasks at scale.,8.5,https://www.kaggle.com/learn/advanced-sql,,,,,,
Intro to Machine Learning,Fundamentals of ML including model building and validation.,Key introduction to predictive modeling and core ML concepts.,8.5,https://www.kaggle.com/learn/intro-to-machine-learning,,,,,,
Intermediate Machine Learning,"Covers pipelines, missing values, data leakage, and model tuning.",Bridges theory to real-world ML practices and improves model reliability.,9,"https://www.kaggle.com/learn/intermediate-machine-learning	",,,,,,
Machine Learning Explainability,Understand and interpret model predictions and outputs.,"Critical for trust, transparency, and stakeholder communication.",9,https://www.kaggle.com/learn/machine-learning-explainability,,,,,,
Intro to Deep Learning,Introduction to neural networks using TensorFlow and Keras.,Entry point into modern AI techniques and neural network models.,8.5,https://www.kaggle.com/learn/intro-to-deep-learning,,,,,,
Computer Vision,Apply deep learning techniques to image data using CNNs.,Specialized but valuable skill in image analysis and AI applications.,8.5,https://www.kaggle.com/learn/computer-vision,,,,,,
Time Series,Learn forecasting techniques using time-based datasets.,Important for business use cases like forecasting and trend analysis.,8.5,https://www.kaggle.com/learn/time-series,,,,,,
Geospatial Analysis,Analyze spatial data and create maps to uncover patterns.,"Useful for government, environmental, and geographic data work.",8,"https://www.kaggle.com/learn/geospatial-analysis	",,,,,,
Intro to AI Ethics,"Learn about bias, fairness, and responsible AI usage.",Essential for responsible AI development and governance contexts.,9,https://www.kaggle.com/learn/intro-to-ai-ethics,,,,,,
"	",,,,,,,,,,
CS50: Introduction to Computer Science,"Comprehensive introduction to computer science, covering algorithms, data structures, and programming fundamentals.",Gold-standard intro CS course; builds strong foundational thinking and problem-solving skills.,10,"https://cs50.harvard.edu/x/	",,,,,,
CS50's Introduction to Programming with Python,"Learn programming fundamentals using Python, including functions, loops, and data structures.",Beginner-friendly Python course ideal for transitioning into data science.,9.5,"https://cs50.harvard.edu/python/	",,,,,,
CS50's Introduction to Programming with Scratch,Learn computational thinking visually using Scratch programming.,Best for absolute beginners to understand logic before coding.,8,"https://cs50.harvard.edu/scratch/	",,,,,,
CS50's Introduction to Databases with SQL,"Learn SQL for querying, managing, and analyzing relational databases.",Core skill for data work; practical and widely used in industry.,9,"https://cs50.harvard.edu/sql/	",,,,,,
CS50's Web Programming with Python and JavaScript,"Build web applications using Python, JavaScript, and frameworks.",Excellent for full-stack development and backend/frontend integration.,9,"https://cs50.harvard.edu/web/	",,,,,,
CS50's Introduction to Artificial Intelligence with Python,"Introduction to AI concepts such as search, optimization, and machine learning.",Strong conceptual AI course with hands-on Python implementations.,9.5,"https://cs50.harvard.edu/ai/	",,,,,,
CS50 for Lawyers,"Explains technical concepts like cybersecurity, AI, and systems for legal professionals.",Great for non-technical professionals needing tech literacy.,8.5,"https://cs50.harvard.edu/law/	",,,,,,
CS50's Computer Science for Business,"Explains CS concepts (cloud, APIs, data) in business context.",Bridges technical and business perspectives effectively.,8.5,"https://cs50.harvard.edu/business/	",,,,,,
Introduction to Data Science with Python,"Covers data analysis, visualization, and machine learning basics using Python.",Strong entry into applied data science workflows.,9,"https://cs50.harvard.edu/python/	",,,,,,
Data Science: R Basics,Introduction to R programming for data science.,Foundation for Harvard’s full data science track.,8.5,"https://pll.harvard.edu/course/data-science-r-basics	",,,,,,
Data Science: Wrangling,Learn how to clean and manipulate data effectively.,Critical real-world skill; most data work involves cleaning.,9,https://www.edx.org/learn/data-science/harvard-university-data-science-wrangling,,,,,,
Data Science: Linear Regression,Explore linear regression models and statistical relationships.,Fundamental modeling technique in data science.,9,https://pll.harvard.edu/course/data-science-linear-regression,,,,,,
Data Science: Building Machine Learning Models,Learn how to build predictive models using real-world data.,Practical ML skills for applied data science.,9,https://pll.harvard.edu/course/data-science-building-machine-learning-models,,,,,,
Data Science: Productivity Tools,"Learn tools like Git, RStudio, and workflow practices.",Improves efficiency and reproducibility in projects.,8.5, https://pll.harvard.edu/course/data-science-productivity-tools,,,,,,
Statistics and R,Covers statistical concepts with implementation in R.,Strong stats foundation tied directly to coding.,9,https://pll.harvard.edu/course/statistics-and-r,,,,,,
Introduction to Probability,Covers probability theory and concepts for data science.,Essential math foundation for statistics and ML.,9,"https://pll.harvard.edu/course/data-science-probability	",,,,,,
Introduction to Linear Models and Matrix Algebra,Covers linear algebra concepts applied to modeling.,Crucial math foundation for machine learning and AI.,9, https://pll.harvard.edu/course/introduction-linear-models-and-matrix-algebra,,,,,,
High-Dimensional Data Analysis,"Advanced course on analyzing complex, high-dimensional datasets.",Important for modern big data and ML applications.,8.5,"https://cs50.harvard.edu/	",,,,,,
Data Analysis: Basic Probability and Statistics,Introductory probability and statistics for data analysis.,Good bridge between math and practical data work.,8.5,"https://cs50.harvard.edu/	",,,,,,
Principles, Statistical and Computational Tools for Reproducible Data Science,Focuses on reproducible research and statistical workflows. Key for professional-grade data science practices.,9,"https://cs50.harvard.edu/	",,,,,,
MLOps for Scaling TinyML,Covers deploying and scaling ML systems in resource-constrained environments.,"Advanced, niche but valuable for production ML systems.",8,"https://cs50.harvard.edu/	",,,,,,
R4DS: Data Transformation,"Covers data manipulation using the dplyr package in R, including filtering, selecting, mutating, grouping, and summarizing data.",Core data science skill: transforming raw data into usable format; essential for analysis workflows and widely used in real-world data science.,9.5,"https://r4ds.hadley.nz/data-transform.html	",,,,,,
Automate the Boring Stuff with Python,"Teaches Python by automating everyday tasks such as file handling, web scraping, spreadsheets, emails, and document processing.",Highly practical and beginner-friendly; focuses on real-world automation that immediately improves productivity.,9.5,https://automatetheboringstuff.com/,,,,,,
Back-End Development and APIs Certification,"Covers building server-side applications using Node.js, Express, and working with APIs and databases.",Highly practical for building real-world applications and integrating data systems; useful for deploying data workflows.,9,"https://www.freecodecamp.org/learn/back-end-development-and-apis-v9/	",,,,,,
Python Certification,Teaches Python fundamentals and practical programming through hands-on labs such as building calculators and automation tasks.,Strong foundation for programming and data work; beginner-friendly and directly applicable to data analysis and scripting.,9.5,"https://www.freecodecamp.org/learn/python-v9/	",,,,,,
Relational Databases Certification,"Introduces SQL, PostgreSQL, and database design concepts for storing and querying structured data.","Essential skill for working with real datasets in analytics, statistics, and IT systems.",9.5,"https://www.freecodecamp.org/learn/relational-databases-v9/	",,,,,,
React for Beginners Handbook,Explains the fundamentals of React for building interactive user interfaces and web applications.,Good for understanding modern front-end frameworks; useful if you plan to present or deploy data dashboards.,8,"https://www.freecodecamp.org/news/react-for-beginners-handbook/	",,,,,,
Python Data Science Handbook,"Comprehensive guide to data science in Python covering NumPy (arrays), Pandas (data manipulation), Matplotlib (visualization), and Scikit-learn (machine learning).",One of the best practical + conceptual resources for data science; teaches the full Python data stack used in real-world analytics and statistics.,10,"https://jakevdp.github.io/PythonDataScienceHandbook/	",,,,,,
Python Official Tutorial,"Official Python documentation covering core language concepts including data types, control flow, functions, modules, and standard libraries.","Most authoritative source for learning Python fundamentals; ensures strong, accurate understanding of the language used in all data and IT work.",9,"https://docs.python.org/3/tutorial/	",,,,,,
Scikit-learn Documentation,"Comprehensive documentation for the scikit-learn library covering machine learning algorithms such as regression, classification, clustering, and model evaluation.",Industry-standard reference for machine learning in Python; essential for implementing statistical and ML models in real projects.,10,"https://scikit-learn.org/stable/index.html	",,,,,,
R for Data Science (R4DS),"Comprehensive guide to data science workflows in R, including data transformation, visualization, modeling, and communication.",One of the most important resources for data workflows; teaches how to turn raw data into insights using reproducible methods.,10,"https://r4ds.hadley.nz/	",,,,,,
Hands-On Programming with R (HOPR),"Beginner-friendly introduction to R programming covering data structures, functions, loops, and practical problem solving.",Excellent for learning R from scratch; complements R4DS by focusing on core programming skills needed before data analysis.,9,"https://rstudio-education.github.io/hopr/	",,,,,,
UCI Machine Learning Repository,"Large collection of real-world datasets for machine learning and statistical analysis across domains like healthcare, finance, and education.","Essential dataset source for practicing statistics, machine learning, and data analysis; widely used for benchmarking models.",10,"https://archive.ics.uci.edu/datasets/	",,,,,,
swirl (Learn R in R),Interactive R package that teaches R programming directly in the console through guided exercises and feedback.,Highly practical beginner tool for learning R interactively; good for building intuition through hands-on coding.,8.5,"https://swirlstats.com/students.html	",,,,,,
Python Programming Beginner Tutorials (Corey Schafer),"Comprehensive beginner-friendly Python series covering syntax, data types, functions, OOP, and practical coding examples step by step.",One of the best structured Python tutorials online; very clear explanations and strong foundation for data science and IT.,9.5,"https://www.youtube.com/watch?v=ZyhVh-qRZPA&list=PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS	",,,,,,
Python Pandas Data Analysis Tutorials (Corey Schafer),"Series focused on using Pandas for data manipulation, cleaning, and analysis in Python.","Highly practical for real-world data analysis tasks; directly useful for statistics, Kaggle, and data science workflows.",9.5,"https://www.youtube.com/watch?v=YYXdXT2l-Gg&list=PL-osiE80TeTskrapNbzXhwoFUiLCjGgY7	
Python Object-Oriented Programming (OOP) Tutorials,Covers classes", objects, inheritance," and advanced Python OOP concepts with practical coding examples.""","Essential for writing clean, scalable code; important for software engineering and structuring data-related projects.",9,"https://www.youtube.com/watch?v=j6vKLJxAKfw&list=PL-osiE80TeTvGhHkpvfmKWOiIPF8UVy6c	"
Python Flask Web Development Tutorials,"Teaches how to build web applications using Flask including routing, templates, databases, and deployment.","Useful for building dashboards, APIs, or deploying data applications; bridges data science with real-world systems.",8.5,"https://www.youtube.com/watch?v=HVsySz-h9r4&list=PL-osiE80TeTuRUfjRe54Eea17-YfnOOAx	",,,,,,
Python Django Tutorials,"Comprehensive series on Django framework covering full-stack web development, authentication, databases, and deployment.",Powerful for building full-scale applications; useful if you want production-level systems or data-driven web apps.,8.5,"https://www.youtube.com/watch?v=xaWlS9HtWYw&list=PL-osiE80TeTsKOdPrKeSOp4rN3mza8VHN	",,,,,,
Data Analysis with Pandas (Data School),"Beginner-to-intermediate playlist teaching pandas for data cleaning, manipulation, filtering, grouping, and real-world dataset analysis.",Highly practical and beginner-friendly pandas resource; uses real datasets and focuses on common data analysis tasks used in industry.,9.5,"https://www.youtube.com/watch?v=yzIMircGU5I&list=PL5-da3qGB5ICCsgW1MxlZ0Hq8LL5U3u9y	",,,,,,
R Programming 101 (GeeksforGeeks),"Structured guide to R programming covering basics, data structures, control flow, visualization, and statistical analysis.","Solid all-in-one written reference for R learning, from beginner to intermediate level, with practical examples.",9,"https://www.geeksforgeeks.org/r-language/r-programming-101/	",,,,,,
Microsoft Data Scientist Career Path,"Structured career roadmap covering data science concepts, machine learning workflows, and Azure-based tools for end-to-end projects.","Provides a complete industry-oriented learning path combining statistics, machine learning, and real-world deployment practices.",9.5,"https://learn.microsoft.com/en-us/training/career-paths/data-scientist	",,,,,,
Create Machine Learning Models (Microsoft Learn),"Learning path covering core machine learning techniques such as regression, classification, clustering, and model evaluation with practical exercises.",Excellent bridge between theory and practice; teaches how to actually build and evaluate models in a structured way.,9.5,"https://learn.microsoft.com/en-us/training/paths/create-machine-learn-models/	",,,,,,
Explore and Analyze Data with Python (Microsoft Learn),"Module introducing data exploration and analysis using Python libraries such as Pandas, NumPy, and Matplotlib.",Strong practical introduction to real-world data analysis workflows; directly useful for statistics and data science tasks.,9,"https://learn.microsoft.com/en-us/training/modules/explore-analyze-data-with-python/	",,,,,,
Pandas Official Documentation,"Comprehensive official documentation covering pandas data structures, data manipulation, cleaning, and analysis techniques.",Authoritative reference for pandas; essential for real-world data analysis and advanced data workflows.,10,"https://pandas.pydata.org/docs/	",,,,,,
Create Machine Learning Models (Microsoft Learn),"Structured learning path covering regression, classification, clustering, and model evaluation with practical exercises.",Strong hands-on introduction to machine learning workflows; bridges theory and implementation effectively.,9.5,"https://learn.microsoft.com/en-us/training/paths/create-machine-learn-models/	",,,,,,
Microsoft Certified PL-300 Study Guide (Power BI Data Analyst),"Official study guide covering data preparation, modeling, visualization, and Power BI reporting for analytics roles.",Useful for learning business intelligence and data visualization; aligns with industry certification and reporting tools.,9,"https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300	",,,,,,
Pro Git (Official Book),"Comprehensive free book covering Git fundamentals, branching, collaboration, and advanced workflows.",Industry-standard Git resource; highly structured and widely used for mastering version control.,10,"https://git-scm.com/book	",,,,,,
GitLab Official Tutorials,"Step-by-step tutorials covering GitLab features including repositories, CI/CD pipelines, and project workflows.",Best official resource for learning GitLab workflows and DevOps integration.,9,"https://docs.gitlab.com/tutorials/	",,,,,,
Learn Git Branching,"Interactive visual tool for learning Git concepts such as branching, merging, and rebasing.",Hands-on and intuitive; one of the best tools for understanding Git deeply.,9.5,"https://learngitbranching.js.org	",,,,,,
W3Schools SQL Tutorial,"Beginner-friendly SQL tutorial covering queries, joins, filtering, and database operations across SQL Server, MySQL, and Oracle.",Simple and interactive introduction to SQL; great starting point for all database systems.,9,"https://www.w3schools.com/sql/	",,,,,,
Microsoft Learn SQL Server Resources,"Official Microsoft collection of SQL Server tutorials, labs, and guides for T-SQL, database management, and Azure SQL.",Authoritative source for MSSQL; includes practical and job-relevant database skills.,9.5,"https://learn.microsoft.com/en-us/sql/sql-server/educational-sql-resources	",,,,,,
Oracle Dev Gym SQL Course,"Free interactive Oracle SQL course with modules on queries, joins, transactions, and data modeling.",Structured hands-on Oracle SQL learning with quizzes and certification.,9.5,"https://devgym.oracle.com	",,,,,,
Microsoft OneLake Documentation,"Official documentation explaining OneLake architecture, data storage, and integration within Microsoft Fabric.",Essential for understanding modern data engineering and unified data lake concepts.,9,"https://learn.microsoft.com/en-us/fabric/onelake/	",,,,,,
Microsoft Fabric Learning Labs,"Hands-on labs covering lakehouse creation, data ingestion, querying, and analytics workflows in Fabric.",Practical training for real-world data engineering pipelines using modern tools.,9.5,"https://microsoftlearning.github.io/mslearn-fabric/Instructions/Labs/25-discover-onelake.html	",,,,,,
RShiny,Shiny Official Tutorials,"Official Shiny tutorials covering reactive programming, dashboards, layouts, inputs, outputs, and deployment.Best official starting point directly from Posit (RStudio); most widely referenced resource.",10,https://shiny.posit.co/r/getstarted/shiny-basics/lesson1/,,,,,,
RShiny,Mastering Shiny,Comprehensive online book by Hadley Wickham covering beginner to advanced Shiny app development. Gold-standard Shiny resource; teaches best practices and scalable app design.,10,https://mastering-shiny.org/,,,,,,
